player,position,team,value,rank,sleeper_id
Josh Allen,QB,BUF,10518,1,4984
Jahmyr Gibbs,RB,DET,10482,2,9221
Bijan Robinson,RB,ATL,9719,3,9509
Ja'Marr Chase,WR,CIN,9550,4,7564
Jaxon Smith-Njigba,WR,SEA,8738,5,9488
Puka Nacua,WR,LAR,8369,6,9493
Drake Maye,QB,NE,8345,7,11564
Brock Bowers,TE,LV,7823,8,11604
Lamar Jackson,QB,BAL,7601,9,4881
Amon-Ra St. Brown,WR,DET,7460,10,7547
Caleb Williams,QB,CHI,7335,11,11560
Joe Burrow,QB,CIN,6943,12,6770
Justin Jefferson,WR,MIN,6778,13,6794
Jayden Daniels,QB,WAS,6668,14,11566
Trey McBride,TE,ARI,6667,15,8130
Malik Nabers,WR,NYG,6556,16,11632
Jeremiyah Love,RB,ARI,6496,17,13287
Ashton Jeanty,RB,LV,6388,18,12527
CeeDee Lamb,WR,DAL,6178,19,6786
Justin Herbert,QB,LAC,6071,20,6797
De'Von Achane,RB,MIA,5787,21,9226
Omarion Hampton,RB,LAC,5740,22,12507
Jonathan Taylor,RB,IND,5510,23,6813
Jalen Hurts,QB,PHI,5458,24,6904
James Cook,RB,BUF,5363,25,8138
Colston Loveland,TE,CHI,5338,26,12517
Drake London,WR,ATL,5307,27,8112
Trevor Lawrence,QB,JAX,5209,28,7523
Patrick Mahomes,QB,KC,5167,29,4046
George Pickens,WR,DAL,5077,30,8137
Jaxson Dart,QB,NYG,5014,31,12508
Nico Collins,WR,HOU,4907,32,7569
Bo Nix,QB,DEN,4861,33,11563
Tetairoa McMillan,WR,CAR,4748,34,12526
Christian McCaffrey,RB,SF,4739,35,4034
Chris Olave,WR,NO,4523,36,8144
Kenneth Walker,RB,KC,4466,37,8151
Chase Brown,RB,CIN,4446,38,9224
Emeka Egbuka,WR,TB,4288,39,12514
Brock Purdy,QB,SF,4242,40,8183
Saquon Barkley,RB,PHI,4180,41,4866
Tyler Warren,TE,IND,4177,42,12518
Ladd McConkey,WR,LAC,4165,43,11635
A.J. Brown,WR,NE,4162,44,5859
Dak Prescott,QB,DAL,4065,45,3294
Garrett Wilson,WR,NYJ,3995,46,8146
Jordan Love,QB,GB,3972,47,6804
Zay Flowers,WR,BAL,3926,48,9997
Carnell Tate,WR,TEN,3798,49,13279
Luther Burden,WR,CHI,3794,50,12519
DeVonta Smith,WR,PHI,3755,51,7525
Breece Hall,RB,NYJ,3739,52,8155
Fernando Mendoza,QB,LV,3696,53,13269
Quinshon Judkins,RB,CLE,3589,54,12512
Rashee Rice,WR,KC,3583,55,10229
Javonte Williams,RB,DAL,3447,56,7588
Jared Goff,QB,DET,3440,57,3163
Tyler Shough,QB,NO,3437,58,12545
Tee Higgins,WR,CIN,3405,59,6801
Jaylen Waddle,WR,DEN,3372,60,7526
Jadarian Price,RB,SEA,3331,61,13286
Jordyn Tyson,WR,NO,3297,62,13281
Kyren Williams,RB,LAR,3290,63,8150
Tucker Kraft,TE,GB,3289,64,9484
Baker Mayfield,QB,TB,3260,65,4892
Rome Odunze,WR,CHI,3234,66,11620
Cam Ward,QB,TEN,3206,67,12522
Derrick Henry,RB,BAL,3195,68,3198
C.J. Stroud,QB,HOU,3194,69,9758
Cam Skattebo,RB,NYG,3176,70,12481
Bucky Irving,RB,TB,3060,71,11584
Harold Fannin,TE,CLE,3051,72,12506
TreVeyon Henderson,RB,NE,3032,73,12529
Sam LaPorta,TE,DET,3017,74,10859
Travis Etienne,RB,NO,2990,75,7543
Kyler Murray,QB,MIN,2978,76,5849
Marvin Harrison Jr,WR,ARI,2949,77,11628
Jameson Williams,WR,DET,2915,78,8148
Makai Lemon,WR,PHI,2897,79,13294
Matthew Stafford,QB,LAR,2872,80,421
Fred Warner,IDP,SF,420,81,4039
Roquan Smith,IDP,BAL,380,82,4983
Justin Tucker,K,FA,40,200,421
San Francisco 49ers,DEF,SF,35,201,SF
